,Unnamed: 0,#,Transaction Date,Owner,Ticker,Asset Name,Type,Amount,Comment,Senator Name,Transaction Type,Comments
1708,,28,12/27/2018,Self,IVZ,Invesco Ltd.,Sale (Partial),"$15,001 - $50,000",--,"Hoeven, John",,
1709,,29,12/27/2018,Self,TAP,Molson Coors Brewing Company,Sale (Full),"$100,001 - $250,000",--,"Hoeven, John",,
1710,,30,12/27/2018,Self,DWDP,DowDuPont Inc.,Sale (Full),"$50,001 - $100,000",--,"Hoeven, John",,
1711,,31,12/27/2018,Self,WTW,"Weight Watchers International, Inc.",Sale (Partial),"$15,001 - $50,000",--,"Hoeven, John",,
1712,,1,06/07/2018,Self,XSLV,Invesco S&P SmallCap Low Volatility ETF,,"$50,001 - $100,000",,"Hoeven, John",Purchase,
1713,,2,03/05/2018,Self,ITA,iShares U.S. Aerospace & Defense ETF,,"$50,001 - $100,000",,"Hoeven, John",Purchase,
1714,,3,03/05/2018,Self,VHT,Vanguard Health Care Index Fund ETF Shares,,"$50,001 - $100,000",,"Hoeven, John",Purchase,
1715,,1,12/13/2018,Self,SGIIX,First Eagle Global Fund Class I,,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1716,,2,12/19/2018,Self,VWINX,Vanguard Wellesley Income Fund Investor Shares,,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1717,,3,12/27/2018,Self,MDISX,Franklin Mutual Global Discovery Fund Class Z,,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1718,,4,01/18/2018,Self,VWINX,Vanguard Wellesley Income Fund Investor Shares,,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1719,,5,01/18/2018,Self,SGIIX,First Eagle Global Fund Class I,,"$15,001 - $50,000",,"Kaine, Tim",Sale (Partial),
1720,,6,01/18/2018,Self,LSBDX,Loomis Sayles Bond Fund Institutional Class,,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1721,,7,01/18/2018,Self,MDISX,Franklin Mutual Global Discovery Fund Class Z,,"$1,001 - $15,000",,"Kaine, Tim",Sale (Partial),
1722,,8,01/18/2018,Self,PFBPX,PIMCO International Bond Fund (U.S. Dollar-Hedged),,"$1,001 - $15,000",,"Kaine, Tim",Purchase,
1723,,9,01/18/2018,Self,PONPX,PIMCO Income Fund Class I-2,,"$50,001 - $100,000",,"Kaine, Tim",Purchase,
1724,,10,01/18/2018,Self,SDY,SPDR S&P Dividend ETF,,"$1,001 - $15,000",,"Kaine, Tim",Sale (Partial),
1725,,11,01/18/2018,Self,VDE,Vanguard Energy Index Fund ETF Shares,,"$15,001 - $50,000",,"Kaine, Tim",Sale (Full),
1726,,12,01/18/2018,Self,QQQ,Invesco QQQ Trust,,"$15,001 - $50,000",,"Kaine, Tim",Sale (Partial),Formerly reported as Powershares QQQ ETF
1727,,13,01/12/2018,Self,VDE,Vanguard Energy Index Fund ETF Shares,,"$15,001 - $50,000",,"Kaine, Tim",Sale (Partial),
1728,,1,01/04/2018,Spouse,GWW,"W.W. Grainger, Inc.",Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1729,,2,01/04/2018,Spouse,GE,General Electric Company,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1730,,3,01/04/2018,Spouse,RDS-A,Royal Dutch Shell plc,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1731,,4,01/04/2018,Spouse,PG,The Procter & Gamble Company,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1732,,5,01/04/2018,Spouse,NSC,Norfolk Southern Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1733,,6,01/04/2018,Spouse,MSFT,Microsoft Corporation,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1734,,7,01/04/2018,Spouse,MRK,"Merck & Co., Inc.",Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1735,,8,01/04/2018,Spouse,IBM,International Business Machines Corporation,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1736,,9,01/04/2018,Spouse,INTC,Intel Corporation,Sale (Partial),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1737,,10,01/04/2018,Spouse,XOM,Exxon Mobil Corporation,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1738,,11,01/04/2018,Spouse,KO,The Coca-Cola Company,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1739,,12,01/04/2018,Spouse,C,Citigroup Inc.,Sale (Partial),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1740,,13,01/04/2018,Spouse,CSCO,"Cisco Systems, Inc.",Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1741,,14,01/04/2018,Spouse,BMY,Bristol-Myers Squibb Company,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1742,,15,01/26/2018,Spouse,SLB,Schlumberger Limited,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1743,,16,01/26/2018,Spouse,RYAAY,Ryanair Holdings plc,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1744,,17,01/26/2018,Spouse,INTC,Intel Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1745,,18,01/26/2018,Spouse,HXL,Hexcel Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1746,,19,01/26/2018,Spouse,FANUY,Fanuc Corporation,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1747,,20,01/26/2018,Spouse,DWDP,DowDuPont Inc.,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1748,,21,02/21/2018,Self,BUD,Anheuser-Busch InBev SA/NV,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1749,,22,02/27/2018,Spouse,CERN,Cerner Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1750,,23,02/27/2018,Spouse,OXY,Occidental Petroleum Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1751,,24,02/27/2018,Spouse,ICE,"Intercontinental Exchange, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1752,,25,02/27/2018,Spouse,MDLZ,"Mondelez International, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1753,,26,02/27/2018,Spouse,STT,State Street Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1754,,27,02/28/2018,Spouse,RHHBY,Roche Holding AG,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1755,,28,03/28/2018,Spouse,WFC,Wells Fargo & Company,Sale (Partial),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1756,,29,03/28/2018,Spouse,FANUY,Fanuc Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1757,,30,04/04/2018,Self,MDLZ,"Mondelez International, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1758,,31,04/04/2018,Spouse,APD,"Air Products and Chemicals, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1759,,32,04/05/2018,Spouse,AMGN,Amgen Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1760,,33,04/05/2018,Spouse,WEC,"WEC Energy Group, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1761,,34,04/05/2018,Spouse,WMT,Walmart Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1762,,35,04/05/2018,Spouse,VFC,V.F. Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1763,,36,04/05/2018,Spouse,UTX,United Technologies Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1764,,37,04/05/2018,Spouse,USB,U.S. Bancorp,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1765,,38,04/05/2018,Spouse,MMM,3M Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1766,,39,04/05/2018,Spouse,SYY,Sysco Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1767,,40,04/05/2018,Spouse,PX,"Praxair, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1768,,41,04/05/2018,Spouse,PII,Polaris Industries Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1769,,42,04/05/2018,Spouse,PSX,Phillips 66,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1770,,43,04/05/2018,Spouse,PEP,"PepsiCo, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1771,,44,04/05/2018,Spouse,PAYX,"Paychex, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1772,,45,04/05/2018,Spouse,NSC,Norfolk Southern Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1773,,46,04/05/2018,Spouse,NEE,"NextEra Energy, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1774,,47,04/05/2018,Spouse,JPM,JPMorgan Chase & Co.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1775,,48,04/05/2018,Spouse,MSFT,Microsoft Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1776,,49,04/05/2018,Spouse,MDT,Medtronic plc,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1777,,50,04/05/2018,Spouse,LOW,"Lowe's Companies, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1778,,51,04/05/2018,Spouse,JNJ,Johnson & Johnson,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1779,,52,04/05/2018,Spouse,ITW,Illinois Tool Works Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1780,,53,04/05/2018,Spouse,HRS,Harris Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1781,,54,04/05/2018,Spouse,GD,General Dynamics Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1782,,55,04/05/2018,Spouse,ES,Eversource Energy,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1783,,56,04/05/2018,Spouse,EMR,Emerson Electric Co.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1784,,57,04/05/2018,Spouse,CL,Colgate-Palmolive Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1785,,58,04/05/2018,Spouse,CLX,The Clorox Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1786,,59,04/05/2018,Spouse,CSCO,"Cisco Systems, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1787,,60,04/05/2018,Spouse,CB,Chubb Limited,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1788,,61,04/05/2018,Spouse,CVX,Chevron Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1789,,62,04/05/2018,Spouse,BLK,"BlackRock, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1790,,63,04/05/2018,Spouse,BDX,"Becton, Dickinson and Company",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1791,,64,04/05/2018,Spouse,ADP,"Automatic Data Processing, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1792,,65,04/05/2018,Spouse,ADI,"Analog Devices, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1793,,66,04/05/2018,Spouse,ACN,Accenture plc,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1794,,67,04/05/2018,Spouse,ABT,Abbott Laboratories,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1795,,68,04/05/2018,Spouse,T,AT&T Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1796,,69,04/05/2018,Spouse,AFL,Aflac Incorporated,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1797,,70,04/05/2018,Spouse,UBSI,"United Bankshares, Inc.",Sale (Partial),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1798,,71,04/06/2018,Spouse,MCD,McDonald's Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1799,,72,04/24/2018,Spouse,UBSI,"United Bankshares, Inc.",Sale (Full),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1800,,73,04/24/2018,Spouse,NSRGY,Nestlé S.A.,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1801,,74,04/24/2018,Spouse,MS,Morgan Stanley,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1802,,75,04/24/2018,Spouse,LULU,Lululemon Athletica Inc.,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1803,,76,04/24/2018,Spouse,IYE,iShares US Energy ETF,Sale (Full),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1804,,77,04/24/2018,Spouse,KHC,The Kraft Heinz Company,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1805,,78,04/24/2018,Spouse,RHHBY,Roche Holding AG,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1806,,79,04/24/2018,Spouse,CLB,Core Laboratories N.V.,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1807,,80,04/24/2018,Spouse,CHK,Chesapeake Energy Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1808,,81,04/24/2018,Spouse,CME,CME Group Inc.,Sale (Full),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1809,,82,04/24/2018,Spouse,BRK-B,Berkshire Hathaway Inc.,Sale (Full),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1810,,83,04/24/2018,Spouse,AL,Air Lease Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1811,,84,04/24/2018,Spouse,PX,"Praxair, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1812,,85,04/24/2018,Spouse,USB,U.S. Bancorp,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1813,,86,04/24/2018,Spouse,UTX,United Technologies Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1814,,87,04/24/2018,Spouse,VFC,V.F. Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1815,,88,04/24/2018,Spouse,WMT,Walmart Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1816,,89,04/24/2018,Spouse,WEC,"WEC Energy Group, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1817,,90,04/24/2018,Spouse,PG,The Procter & Gamble Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1818,,91,04/24/2018,Spouse,AFL,Aflac Incorporated,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1819,,92,04/24/2018,Spouse,GIS,"General Mills, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1820,,93,04/24/2018,Spouse,GD,General Dynamics Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1821,,94,04/24/2018,Spouse,FDS,FactSet Research Systems Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1822,,95,04/24/2018,Spouse,XOM,Exxon Mobil Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1823,,96,04/24/2018,Spouse,ES,Eversource Energy,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1824,,97,04/24/2018,Spouse,EMR,Emerson Electric Co.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1825,,98,04/24/2018,Spouse,EV,Eaton Vance Corp.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1826,,99,04/24/2018,Spouse,CL,Colgate-Palmolive Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1827,,100,04/24/2018,Spouse,CLX,The Clorox Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1828,,101,04/24/2018,Spouse,CSCO,"Cisco Systems, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1829,,102,04/24/2018,Spouse,CB,Chubb Limited,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1830,,103,04/24/2018,Spouse,CVX,Chevron Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1831,,104,04/24/2018,Spouse,BLK,"BlackRock, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1832,,105,04/24/2018,Spouse,BDX,"Becton, Dickinson and Company",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1833,,106,04/24/2018,Spouse,ADP,"Automatic Data Processing, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1834,,107,04/24/2018,Spouse,ADI,"Analog Devices, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1835,,108,04/24/2018,Spouse,AMGN,Amgen Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1836,,109,04/24/2018,Spouse,APD,"Air Products and Chemicals, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1837,,110,04/24/2018,Spouse,ACN,Accenture plc,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1838,,111,04/24/2018,Spouse,ABT,Abbott Laboratories,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1839,,112,04/24/2018,Spouse,T,AT&T Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1840,,113,04/24/2018,Spouse,VGK,Vanguard FTSE Europe ETF,Sale (Full),"$15,001 - $50,000",--,"Capito, Shelley Moore",,
1841,,114,04/24/2018,Spouse,QCOM,QUALCOMM Incorporated,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1842,,115,04/24/2018,Spouse,SYY,Sysco Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1843,,116,04/24/2018,Spouse,TGT,Target Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1844,,117,04/24/2018,Spouse,MMM,3M Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1845,,118,04/24/2018,Spouse,PII,Polaris Industries Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1846,,119,04/24/2018,Spouse,PSX,Phillips 66,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1847,,120,04/24/2018,Spouse,PEP,"PepsiCo, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1848,,121,04/24/2018,Spouse,PAYX,"Paychex, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1849,,122,04/24/2018,Spouse,NVS,Novartis AG,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1850,,123,04/24/2018,Spouse,NSC,Norfolk Southern Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1851,,124,04/24/2018,Spouse,NKE,"NIKE, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1852,,125,04/24/2018,Spouse,NEE,"NextEra Energy, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1853,,126,04/24/2018,Spouse,JPM,JPMorgan Chase & Co.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1854,,127,04/24/2018,Spouse,MSFT,Microsoft Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1855,,128,04/24/2018,Spouse,MDT,Medtronic plc,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1856,,129,04/24/2018,Spouse,MCD,McDonald's Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1857,,130,04/24/2018,Spouse,LOW,"Lowe's Companies, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1858,,131,04/24/2018,Spouse,JNJ,Johnson & Johnson,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1859,,132,04/24/2018,Spouse,IBM,International Business Machines Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1860,,133,04/24/2018,Spouse,ITW,Illinois Tool Works Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1861,,134,04/24/2018,Spouse,HRS,Harris Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1862,,135,05/17/2018,Self,DWDP,DowDuPont Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1863,,136,05/17/2018,Spouse,RCL,Royal Caribbean Cruises Ltd.,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1864,,137,05/18/2018,Spouse,--,"Amadeus IT Group, S.A.",Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1865,,138,05/18/2018,Spouse,BNPQY,BNP Paribas SA,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1866,,139,06/07/2018,Spouse,BA,The Boeing Company,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1867,,140,07/25/2018,Spouse,ENB,Enbridge Inc.,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1868,,141,09/25/2018,Self,GILD,"Gilead Sciences, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1869,,142,09/27/2018,Spouse,WAB,Westinghouse Air Brake Technologies Corporation,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1870,,143,09/27/2018,Spouse,QCOM,QUALCOMM Incorporated,Sale (Partial),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1871,,144,10/16/2018,Spouse,JPM,JPMorgan Chase & Co.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1872,,145,10/17/2018,Spouse,JNJ,Johnson & Johnson,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1873,,146,10/31/2018,Spouse,PX  LIN,"Praxair, Inc. (Exchanged)  Linde plc Received",Exchange,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1874,,147,10/31/2018,Spouse,LIN  PX,"Linde plc (Exchanged)  Praxair, Inc. Received",Exchange,"$1,001 - $15,000","Praxair, Inc. exchanged for Linde PLC (received) 10/31/18","Capito, Shelley Moore",,
1875,,148,11/12/2018,Spouse,INCY,Incyte Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1876,,149,11/13/2018,Spouse,SHECY,"Shin-Etsu Chemical Co., Ltd.",Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1877,,150,11/29/2018,Spouse,QCOM,QUALCOMM Incorporated,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1878,,151,11/29/2018,Spouse,--,Apple Inc.,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1879,,152,11/29/2018,Spouse,IBM,International Business Machines Corporation,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1880,,153,12/12/2018,Spouse,GIS,"General Mills, Inc.",Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1881,,154,12/13/2018,Spouse,PEP,"PepsiCo, Inc.",Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1882,,155,12/13/2018,Spouse,PG,The Procter & Gamble Company,Purchase,"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1883,,156,12/31/2018,Spouse,--,General Electric Company,Sale (Full),"$1,001 - $15,000",--,"Capito, Shelley Moore",,
1884,,1,01/05/2018,Joint,--,Lexington Property,,"$100,001 - $250,000",,"Capito, Shelley Moore",Sale (Full),
1885,,2,04/04/2018,Spouse,BRIXX,Blackrock Funds III - Treasury Money Market Fund,,"$15,001 - $50,000",,"Capito, Shelley Moore",Sale (Partial),
1886,,3,04/04/2018,Spouse,--,Citigroup Common Stock Fund,,"$15,001 - $50,000",,"Capito, Shelley Moore",Sale (Partial),
1887,,4,04/04/2018,Spouse,--,Emerging Market Equity Fund,,"$1,001 - $15,000",,"Capito, Shelley Moore",Sale (Partial),
1888,,5,04/04/2018,Spouse,--,S&P 500 Fund,,"$15,001 - $50,000",,"Capito, Shelley Moore",Sale (Partial),
1889,,6,04/30/2018,Spouse,--,"Belle Meade Associates, NT LP",,"$50,001 - $100,000",,"Capito, Shelley Moore",Purchase,
1890,,1,11/02/2018,Spouse,--,FUSEX,,"$1,001 - $15,000",,"Murray, Patty",Sale (Full),
1891,,2,11/02/2018,Spouse,FXAIX,Fidelity 500 Index Fund,,"$1,001 - $15,000",,"Murray, Patty",Purchase,
1892,,1,02/05/2018,Self,IGF,iShares Global Infrastructure ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1893,,2,02/05/2018,Self,DIA,SPDR Dow Jones Industrial Average ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1894,,3,02/05/2018,Self,EFA,iShares MSCI EAFE ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1895,,4,02/05/2018,Self,VIG,Vanguard Dividend Appreciation Index Fund ETF Shar,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1896,,5,02/05/2018,Self,AMLP,Alerian MLP ETF,,"$250,001 - $500,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1897,,6,02/05/2018,Self,DBC,Invesco DB Commodity Index Tracking Fund,,"$250,001 - $500,000",,The Honorable Robert P Corker Jr. (Former Senator),Purchase,
1898,,7,04/16/2018,Self,DBC,Invesco DB Commodity Index Tracking Fund,,"$250,001 - $500,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1899,,8,04/16/2018,Self,DIA,SPDR Dow Jones Industrial Average ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1900,,9,04/16/2018,Self,AMLP,Alerian MLP ETF,,"$250,001 - $500,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1901,,10,04/16/2018,Self,EFA,iShares MSCI EAFE ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1902,,11,04/16/2018,Self,VIG,Vanguard Dividend Appreciation Index Fund ETF Shar,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1903,,12,04/16/2018,Self,IGF,iShares Global Infrastructure ETF,,"$500,001 - $1,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1904,,13,09/30/2018,Self,--,Altegris CQS Multi-Strategy,,"$1,000,001 - $5,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1905,,14,04/30/2018,Self,--,Altegris QIM Futures,,"$250,001 - $500,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
1906,,15,06/30/2018,Self,--,Altegris Renaissance IE Fund,,"$1,000,001 - $5,000,000",,The Honorable Robert P Corker Jr. (Former Senator),Sale (Full),
